Station ID,Station Name,City,State,Latitude,Longitude,Charging Speed (kW),Available Ports,Status
CS001,Delhi Central Hub,New Delhi,Delhi,28.6139,77.2090,100,8,Active
CS002,Mumbai Fast Charge,Mumbai,Maharashtra,19.0760,72.8777,120,10,Active
CS003,Bangalore Tech Park,Bangalore,Karnataka,12.9716,77.5946,100,8,Active
CS004,Chennai Marina,Chennai,Tamil Nadu,13.0827,80.2707,80,6,Active
CS005,Kolkata Central,Kolkata,West Bengal,22.5726,88.3639,90,6,Active
CS006,Hyderabad Hitech,Hyderabad,Telangana,17.3850,78.4867,100,8,Active
CS007,Pune Express,Pune,Maharashtra,18.5204,73.8567,80,6,Active
CS008,Ahmedabad City,Ahmedabad,Gujarat,23.0225,72.5714,90,6,Active
CS009,Jaipur Pink Hub,Jaipur,Rajasthan,26.9124,75.7873,70,4,Active
CS010,Lucknow Central,Lucknow,Uttar Pradesh,26.8467,80.9462,70,4,Active
CS011,Bhopal Lake View,Bhopal,Madhya Pradesh,23.2599,77.4126,60,4,Active
CS012,Indore City,Indore,Madhya Pradesh,22.7196,75.8577,70,4,Active
CS013,Chandigarh Sector 17,Chandigarh,Chandigarh,30.7333,76.7794,80,6,Active
CS014,Kochi Marina,Kochi,Kerala,9.9312,76.2673,60,4,Active
CS015,Guwahati Central,Guwahati,Assam,26.1445,91.7362,60,4,Active
CS016,Bhubaneswar Smart,Bhubaneswar,Odisha,20.2961,85.8245,70,4,Active
CS017,Dehradun Valley,Dehradun,Uttarakhand,30.3165,78.0322,60,4,Active
CS018,Raipur City,Raipur,Chhattisgarh,21.2514,81.6296,60,4,Active
CS019,Patna Junction,Patna,Bihar,25.5941,85.1376,70,4,Active
CS020,Srinagar Lake,Srinagar,Jammu & Kashmir,34.0837,74.7973,60,4,Active
CS021,Noida Sector 18,Noida,Uttar Pradesh,28.5707,77.3219,90,6,Active
CS022,Gurugram Cyber Hub,Gurugram,Haryana,28.4595,77.0266,100,8,Active
CS023,Thane Highway Hub,Thane,Maharashtra,19.2183,72.9781,80,6,Active
CS024,Mysore Palace Road,Mysore,Karnataka,12.2958,76.6394,70,4,Active
CS025,Nagpur Orange City,Nagpur,Maharashtra,21.1458,79.0882,70,4,Active
CS026,Vadodara Central,Vadodara,Gujarat,22.3072,73.1812,70,4,Active
CS027,Coimbatore Tech,Coimbatore,Tamil Nadu,11.0168,76.9558,60,4,Active
CS028,Trivandrum Beach,Trivandrum,Kerala,8.5241,76.9366,60,4,Active
CS029,Amritsar Golden,Amritsar,Punjab,31.6340,74.8723,70,4,Active
CS030,Nashik Wine City,Nashik,Maharashtra,19.9975,73.7898,60,4,Active
CS031,Vizag Beach Road,Visakhapatnam,Andhra Pradesh,17.6868,83.2185,70,4,Active
CS032,Agra Taj View,Agra,Uttar Pradesh,27.1767,78.0081,70,4,Active
CS033,Shimla Mall Road,Shimla,Himachal Pradesh,31.1048,77.1734,50,3,Active
CS034,Goa Panjim,Panaji,Goa,15.4989,73.8278,60,4,Active
CS035,Ranchi Smart City,Ranchi,Jharkhand,23.3441,85.3096,60,4,Active
